Version,type,order,code,key,category,question,guidance,no-guidance,yes-guidance,offering,service-name,analyst-reason,analyst-followup,compliant-answer,qualitative,highrisk,weight,cis,hippa,iso27002,nistcsf,800-171,800-53,trusted-ci,pci-321
3.02,-FULL-,11,COMP-04,3.02-FULL-COMP-04,Company,"Do you have a dedicated Software and System Development team(s)? (e.g. Customer Support, Implementation, Product Management, etc.)", ,Describe any plans to create a dedicated Software and System Development team.,"Describe the structure and size of your Software and System Development teams. (e.g. Customer Support, Implementation, Product Management, etc.)",,,"Understanding the development team size (and capabilities) of a vendor has a significant impact on their ability to produce and maintain code, adhering to secure coding best practices. The size of a vendor will determine their use of dedicated development teams, or lack thereof. Use the knowledge of this response when evaluating other vendor statements.",Follow-up inquiries for vendor team strategies will be unique to your institution and may depend on the underlying infrastructures needed to support a system for your specific use case.,Yes,,TRUE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,12,COMP-05,3.02-FULL-COMP-05,Company,Use this area to share information about your environment that will assist those who are assessing your company data security program.,Share any details that would help information security analysts assess your product., , ,,,"For the 20% that HECVAT may not cover, this gives the vendor a chance to support their other responses. Beware when this area is populated with sales hype or other non-relevant information. Thorough documentation, supporting evidence, and/or robust responses go a long way in building trust in this assessment process.","This is a freebie to help the vendor state their ""case"". If a vendor does not add anything here (or it is just sales stuff), we can assume it was filled out by a sales engineer and questions will be evaluated with higher scrutiny.",Yes,,FALSE,15,-,-,-,-,-,-,-,-
3.02,-FULL-,13,DOCU-01,3.02-FULL-DOCU-01,Documentation,Have you undergone a SSAE 18/SOC 2 audit?, ,Describe any plans to undergo a SSAE 18 audit.,"Provide the date of assessment and include a SOC 2 Type 2 (preferred) or SOC 3 report. If you have a SOC3 report, state how to obtain a copy. Indicate if your hosting provider was the subject of the audit.",yes,assessment-preparation-soc,"Standard documentation, relevant to institutions requiring a vendor to undergo SSAE 18 audits.",Follow-up inquiries for SSAE 18 content will be institution/implementation specific.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,14,DOCU-02,3.02-FULL-DOCU-02,Documentation,Have you completed the Cloud Security Alliance (CSA) self assessment or CAIQ?, ,Describe any plans to complete the CSA self assessment or CAIQ.,Please include a copy with your response and include a URL for the published assessment.,yes,assessment-preparation-caiq,"Many vendors have populated a CAIQ or at least a self-assessment. Although lacking in some areas important to Higher Ed, these documents are useful for supplemental assessment.",Follow-up inquiries for CSA content will be institution/implementation specific.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,15,DOCU-03,3.02-FULL-DOCU-03,Documentation,Have you received the Cloud Security Alliance STAR certification?, ,Describe any plans to obtain CSA STAR certification.,"Provide date of certification, any supporting documentation, and a URL for the certification.",yes,assessment-preparation-csastar,"If a vendor is STAR certified, vendor responses can theoretically be more trusted since CSA has verified their responses. Trust, but verify for yourself, as needed.",If STAR certification is important to your institution you may have specific follow-up details for documentation purposes.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,16,DOCU-04,3.02-FULL-DOCU-04,Documentation,"Do you conform with a specific industry standard security framework? (e.g. NIST Cybersecurity Framework, CIS Controls, ISO 27001, etc.)", ,Describe any plans to conform to an industry standard security framework.,"Provide documentation on how your organization conforms to your chosen framework and indicate current certification levels, where appropriate.",,,"The details of the standard are not the focus here, it is the fact that a vendor builds their environment around a standard and that they continually evaluate and assess their security programs.","In an ideal world, a vendor will conform to an industry framework that is adopted by an institution. When this synergy does not exist, the interpretation of the vendor's responses must be interpreted in the context of the institution's environment. Follow-up inquires for industry frameworks (and levels of adoption) will be institution/implementation specific.",Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,17,DOCU-05,3.02-FULL-DOCU-05,Documentation,Can the systems that hold the institution's data be compliant with NIST SP 800-171 and/or CMMC Level 3 standards?,.,Describe any plans to provide NIST SP 800-171 or CMMC Level 3 services.,"if you have a 3rd party hosting provider, please provide how you comply with 800-171 where your 3rd party uses a shared responsibility mode",yes,compliance-cmmc,"For institutions that collaborate with the United States government, FISMA compliance may be required.",Follow-up inquiries for FISMA compliance will be institution/implementation specific.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,18,DOCU-06,3.02-FULL-DOCU-06,Documentation,Can you provide overall system and/or application architecture diagrams including a full description of the data flow for all components of the system?, ,Provide a detailed summary of overall system and/or application architecture.,Provide your diagrams (or a valid link to it) upon submission.,yes,system-diagrams,"Managing and protecting institution data is the reason organizations perform security and risk assessments. Privacy policies outline how vendors will obtain, use, share, and protect institutional data and as such, should be robust in its language. Beware of vaguely worded privacy policies.",Inquire about any privacy language the vendor may have. It may not be ideal but there may be something available to assess or enough to have your legal counsel or policy/privacy professionals review.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,19,DOCU-07,3.02-FULL-DOCU-07,Documentation,Does your organization have a data privacy policy?, ,Describe your plans to create a data privacy policy.,Provide your data privacy document (or a valid link to it) upon submission.,yes,data-privacy-policy,"Managing and protecting institution data is the reason organizations perform security and risk assessments. Privacy policies outline how vendors will obtain, use, share, and protect institutional data and as such, should be robust in its language. Beware of vaguely worded privacy policies.",Inquire about any privacy language the vendor may have. It may not be ideal but there may be something available to assess or enough to have your legal counsel or policy/privacy professionals review.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,20,DOCU-08,3.02-FULL-DOCU-08,Documentation,"Do you have a documented, and currently implemented, employee onboarding and offboarding policy?", ,Briefly summarize your response.,Provide a reference to your employee onboarding and offboarding policy and supporting documentation or submit it along with this fully-populated HECVAT.,yes,employee-onboarding-offboarding,Managing and protecting a vendor's assets through appropriate human resource management is of the upmost importance. Knowing how roles and access controls are implemented (directed by policy) within a vendor's infrastructure during the onboarding and offboarding processes are indicative of how access control is regarded in other areas on the provider (vendor).,"Unsatisfactory answers should be met with questions about access control authority, roles and responsibilities (of access grantors), administrative privileges within the vendor's infrastructure(s), etc.",Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,21,DOCU-09,3.02-FULL-DOCU-09,Documentation,Do you have a documented change management process?, ,Briefly summarize your response.,Summarize your current change management process.,yes,change-management-process,The lack of a change management function is indicative of immature program processes. Answers to this question can provide insight into how well their responses (on the HECVAT) represent their actual environment(s).,"If a weak response is given to this answer, response scrutiny should be increased. Questions about configuration management, system authority, and documentation are appropriate.",Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,22,DOCU-10,3.02-FULL-DOCU-10,Documentation,Has a VPAT or ACR been created or updated for the product and version under consideration within the past year?,"If your answer is 'I do not know', select 'No'. If the VPATs/ACR is for an older version of the product or has not been updated, its information does not accurately reflect accessibility of the product under consideration.",Please state your plans (when and by whom) to complete a VPAT.,State the date the VPAT was completed. Include this VPAT in your submission and/or link to its web location.,,,"VPATs (Voluntary Product Accessibility Template) / ACRs (Accessibility Conformance Report, a completed VPAT) are standard accessibility reporting formats from the ITIC <https://www.itic.org/policy/accessibility/vpat>. They can be self-assessments from a vendor, though higher confidence is given if completed by expert third parties. It is important to confirm the version of the product tested and reported on for the VPAT matches the one under consideration.",Cross-reference Accessibility Conformance Reports (ACR) with any answers from ITAC-04 about product roadmaps for accessibility improvements.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,23,DOCU-11,3.02-FULL-DOCU-11,Documentation,Do you have documentation to support the accessibility features of your product?, ,"Provide plans for any documentation that would make accessible content, features and functions easily knowable by end users.",Provide examples with links where possible.,,,"Has the vendor documented any additional information needed by users in order to create accessible products with the tool or platform? Are there tutorials, if needed, on how assistive technology users can best use the product (platforms tested and works best, shortcuts) etc.? In other words, are they taking care of the end users? Accessibility is more than completing checklists.",0,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,24,ITAC-01,3.02-FULL-ITAC-01,IT Accessibility,Has a third party expert conducted an audit of the most recent version of your product?, ,"Please provide plans (when and by whom) any audit is planned, if any or rationale if not.",State when the audit was conducted and by whom? Include the results in your submission and/or link to its web location.,,,"Many vendors rely on their internal product knowledge and history to complete accessibility self-assessments of their own product rather than utilizing up-to-date, validated testing. Use of an expert, external specialist provides a more robust assessment of the product.",TBD,Yes,,TRUE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,25,ITAC-02,3.02-FULL-ITAC-02,IT Accessibility,Do you have a documented and implemented process for verifying accessibility conformance?, ,Summarize how you ensure accessible products. Provide plans to develop documented processes to validate accessibility.,Describe your processes and methodologies for validating accessibility conformance.,,,"A combination of most responses to Q-03 would be ideal and a sign of a mature accessibility program. The goal of accessibility is ultimately usability by persons with disabilities, and so successful testing among that population indicates greater access. Expert staff and automated testing are important, but automated tools can only detect ~25% of issues so must be supplemented with additional methodologies. The use of overlays or plugins to help products ‘automatically conform’ with accessibility guidelines are presently inadequate and should impact scores negatively.",TBD,Yes,,TRUE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,26,ITAC-03,3.02-FULL-ITAC-03,IT Accessibility,Have you adopted a technical or legal standard of conformance for the product in question?, ,Summarize your decision to not adopt a technical or legal standard of conformance for the product in question.,Indicate which primary standards and comment upon any additional standards the product meets.,,,"The Web Content Accessibility Guidelines (WCAG) <https://www.w3.org/WAI/standards-guidelines/wcag> from the W3C are widely accepted measures of accessibility conformance. WCAG AA conformance is the most common level of accessibility adoption, with preference given to the most recently released version: 2.1 (released 2018) or 2.0 (released 2008). Additionally, some federal or local requirements may incorporate or supplement the technical standards--including Section 508 <https://www.section508.gov/manage/laws-and-policies> of the Rehabilitation Act (U.S), EN 301 549 <https://ec.europa.eu/eip/ageing/standards/ict-and-communication/accessibility-and-design-for-all_en.html> (E.U.) etc.",TBD,Yes,,TRUE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,27,ITAC-04,3.02-FULL-ITAC-04,IT Accessibility,"Can you provide a current, detailed accessibility roadmap with delivery timelines?", ,Please provide any plans to develop and share an accessibility product roadmap in the future.,Comment upon how far into the future the roadmap extends. Provide evidence (including links) of having delivered upon the accessibility roadmap in the past.,yes,Accessibility Roadmap,"If products do not fully conform to accessibility standards, it is important that vendors have a roadmap specifying how they will work to achieve it. A roadmap with delivery timelines is best supported by evidence of prior delivery on such timelines. Analysts can better predict time to conformance and institutions can plan accordingly.",TBD,Yes,,TRUE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,28,ITAC-05,3.02-FULL-ITAC-05,IT Accessibility,Do you expect your staff to maintain a current skill set in IT accessibility?, ,Describe any plans to ensure appropriate and ongoing staff knowledge about accessibility.,"Provide any further relevant information about how expertise is maintained; include any accessibility certifications staff may hold (e.g., IAAP WAS <https://www.accessibilityassociation.org/certifications> or DHS Trusted Tester <https://section508.gov/test/trusted-tester>.",,,"Having accessibility expertise within the staff supports the proactive development of accessible products. If staff lack sufficient accessibility expertise, then accessibility improvements may only be the result of the vendor reacting to issues or reports of access barriers submitted by clients of the vendor.",TBD,Yes,,TRUE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,29,ITAC-06,3.02-FULL-ITAC-06,IT Accessibility,Do you have a documented and implemented process for reporting and tracking accessibility issues?, ,State how users should report accessibility issues. Describe any expected related process updates.,Describe the process and any recent examples of fixes as a result of the process.,,,"Tracking and addressing technical issues is a natural part of any web or software product. Critical accessibility issues can cause a product to become unusable. Vendors should have a process to intake, triage and address accessibility issue reports. Vendors that treat accessibility as ‘feature requests’ for future versions of a product or as non-tracked bug reports (i.e. bug reports lacking accessibility tags) should score lower.",TBD,Yes,,TRUE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,30,ITAC-07,3.02-FULL-ITAC-07,IT Accessibility,Do you have documented processes and procedures for implementing accessibility into your development lifecycle?, ,Describe any plans to update processes and procedures to better incorporate accessibility.,Provide further details or multiple means in Additional Information.,,,"This question is designed to understand how accessibility is included in new versions and features of products, particularly with vendors that implement Agile or similar methodologies where software is updated frequently and continuously.
",TBD,Yes,,TRUE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,31,ITAC-08,3.02-FULL-ITAC-08,IT Accessibility,Can all functions of the application or service be performed using only the keyboard?, ,"Indicate a plan to test the product, develop a roadmap for keyboard accessibility or any further context.",State when and on which platform this was verified.,,,One critical accessibility requirement is the full use of a product using only the keyboard--no mouse or trackpad. This requirement is easy for a non-technical or non-accessibility expert to understand and verify.,TBD,Yes,,TRUE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,32,ITAC-09,3.02-FULL-ITAC-09,IT Accessibility,"Does your product rely on activating a special ‘accessibility mode,’ a ‘lite version’ or accessing an alternate interface for accessibility purposes?", , ,Describe any feature differences between standard and accessible modes along with any timelines or plans to merge products into a universally designed platform.,,,"Separate accessibility modes or interfaces are indicative of a product design creating an attempted ‘separate but equal’ environment for disabled users. In practice, separate modes or interfaces for accessibility almost never have feature parity and typically get new features less frequently and after the primary version. They therefore provide unequal experiences for disabled users compared with their non-disabled peers. Interfaces, overlays or extensions that create a separate experience or mimic such an environment should be avoided.",TBD,No,,TRUE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,33,THRD-01,3.02-FULL-THRD-01,Third-Parties,"Do you perform security assessments of third party companies with which you share data? (i.e. hosting providers, cloud services, PaaS, IaaS, SaaS, etc.).", ,State your plans to perform security assessments of third party companies.,"Provide a summary of your practices that assures that the third party will be subject to the appropriate standards regarding security, service recoverability, and confidentiality.",yes,third-party-management-strategy,"In the context of the CIA triad, this question is focused on system integrity, ensuring that system changes are only executed by authorized users. Additionally, it is expected that devices (for administrators, vendor staff, and affiliates)that are used to access the vendor's systems are properly managed and secured.",Follow-up with a robust question set if the vendor cannot clearly state full-control of the integrity of their system(s). Questions about administrator access on end-user devices and other maintenance and patching type questions are appropriate.,Yes,,TRUE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,34,THRD-02,3.02-FULL-THRD-02,Third-Parties,Provide a brief description for why each of these third parties will have access to institution data., , , ,,,0,0,Yes,,FALSE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,35,THRD-03,3.02-FULL-THRD-03,Third-Parties,What legal agreements (i.e. contracts) do you have in place with these third parties that address liability in the event of a data breach?, , , ,,,0,0,No,,FALSE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,36,THRD-04,3.02-FULL-THRD-04,Third-Parties,Do you have an implemented third party management strategy?,Robust answers from the vendor improve the quality and efficiency of the security assessment process.,State your plans to implement a third-party management strategy.,Provide additional information that may help analysts better understand your environment and how it relates to third-party solutions.,yes,third-party-management-strategy,"Modern technologies allow for rapid deployment of features and with them, come changes to an established code environment. The focus of this question is to verify a vendor's practice of regression testing their code and verifying that previously non-existent risks are introduced into a known, secured environment.","If ""No"", inquiry if there are plans to implement these processes. Ask the vendor to summarize their decision behind not scanning their assets for vulnerabilities. Be sure that the vendor answers for both systems AND applications. Do not let good practices in one overshadow deficiencies in the other.",Yes,,FALSE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,37,THRD-05,3.02-FULL-THRD-05,Third-Parties,"Do you have a process and implemented procedures for managing your hardware supply chain? (e.g., telecommunications equipment, export licensing, computing devices)",Make sure you address any national or regional regulations,State your plans to create a process and implemented procedures for managing your hardware supply chain.,State what countries and/or regions this process is compliant with.,yes,hardware-supply-chain-manaagement,"Understanding a vendor's hardware supply chain can reveal infrastructure risks that may not be apparent by other means. In some cases, the use of trusted components may be favorable. In others, it may initiate the assessment of the vendor's environment in more detail and/or expand the scope of the institution's assessment.",Follow-up inquiries concerning hardware supply chain will be institution/implementation specific.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,38,CONS-01,3.02-FULL-CONS-01,Consulting,Will the consulting take place on-premises?, , , ,,,0,0,No,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,39,CONS-02,3.02-FULL-CONS-02,Consulting,Will the consultant require access to Institution's network resources?, , , ,,,0,0,No,,FALSE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,40,CONS-03,3.02-FULL-CONS-03,Consulting,Will the consultant require access to hardware in the Institution's data centers?, , , ,,,0,0,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,41,CONS-04,3.02-FULL-CONS-04,Consulting,Will the consultant require an account within the Institution's domain (@*.edu)?, , , ,,,0,0,No,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,42,CONS-05,3.02-FULL-CONS-05,Consulting,"Has the consultant received training on [sensitive, HIPAA, PCI, etc.] data handling?", , , ,,,0,0,Yes,,FALSE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,43,CONS-06,3.02-FULL-CONS-06,Consulting,Will any data be transferred to the consultant's possession?, ,No need to answer CONS-07, ,,,0,0,No,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,44,CONS-07,3.02-FULL-CONS-07,Consulting,Is it encrypted (at rest) while in the consultant's possession?, , , ,,,0,0,Yes,,FALSE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,45,CONS-08,3.02-FULL-CONS-08,Consulting,Will the consultant need remote access to the Institution's network or systems?, ,No need to answer CONS-09, ,,,0,0,No,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,46,CONS-09,3.02-FULL-CONS-09,Consulting,Can we restrict that access based on source IP address?, , , ,,,0,0,Yes,,FALSE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,47,APPL-01,3.02-FULL-APPL-01,Application/Service Security,"Are access controls for institutional accounts based on structured rules, such as role-based access control (RBAC), attribute-based access control (ABAC) or policy-based access control (PBAC)?","This includes end-users, administrators, service accounts, etc. PBAC would include various dynamic controls such as conditional access, risk-based access, location-based access, or system activity based access.",Describe any limitations that prevent support for RBAC for Institutional accounts.,Describe available roles.,,,"Understanding access control capabilities allows an institution to estimate the type of maintenance efforts will be involved to manage a system. Depending on the users, concerns may or not be elevated. The value of this question is largely determined by the deployment strategy and use case of the software/product/service under review. This question is specific to end-users.",Ask the vendor to summarize the best practices to restrict/control the access given to the institution's end-users without the use of RBAC. Make sure to understand the administrative requirements/overhead introduced in the vendor's environment.,Yes,,TRUE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,48,APPL-02,3.02-FULL-APPL-02,Application/Service Security,"Are access controls for staff within your organization based on structured rules, such as RBAC, ABAC, or PBAC?","This includes system administrators and third party personnel with access to the system. PBAC would include various dynamic controls such as conditional access, risk-based access, location-based access, or system activity based access.",Describe any limitations that prevent support for RBAC within your organization., ,,,"Managing a software/product/service may rely on various professionals to administrate a system. This question is focused on how administration, and the segregation of functions, is implemented within the vendor's infrastructure.",Managing a complex infrastructure requires diligence in protecting access and authority. Unsatisfactory responses may indicate the lack of maturity with a vendor and/or a flat infrastructure with few individuals with broad authority. Inquire about separation of duties and look for areas of inappropriate functional overlap.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,49,APPL-03,3.02-FULL-APPL-03,Application/Service Security,Does the system provide data input validation and error messages?, ,State plans to implement data input validation and error messaging across all components of your system.,Describe how your system(s) provide data input validation and error messages.,,,"Input validation is a secure coding best practices so confirming its implementation is normally a high priority. Error messages (to the system and user) can be used to detect abnormal use and to better protect institutional data. Depending on the criticality of data and the flow of said data, an institution's risk tolerance will be unique to their environment.",Inquire about any planned improvements to these capabilities. Ask about their product(s) roadmap and try to understand how they prioritize security concerns in their environment.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,50,APPL-04,3.02-FULL-APPL-04,Application/Service Security,Are you using a web application firewall (WAF)?, ,"Describe compensating controls that protect your web application, if applicable.",Describe the currently implemented WAF.,yes,partner-waf,"The use case, vendor infrastructure, and types of services offered will greatly affect the need for various firewalling devices. The focus of this question is integrity, ensuring that the systems hosting institutional data are limited in need-only communications. The use of a WAF is important in systems in which a vendor has limited access to the to code infrastructure.","If a vendors states that they outsource their code development and do not run a WAF, there is elevated reason for concern. Verify how code is tested, monitored, and controlled in production environments.",Yes,,TRUE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,51,APPL-05,3.02-FULL-APPL-05,Application/Service Security,"Do you have a process and implemented procedures for managing your software supply chain (e.g. libraries, repositories, frameworks, etc)",Include any in-house developed or contract development,Briefly summarize your response.,Provide supporting documentation of your processes.,yes,software-supply-chain-management,"Understanding system requirements and/or dependencies (e.g., libraries, repositories, frameworks, toolkits, modules, etc.) can reveal infrastructure risks that may not be apparent by other means. In some cases, the use of trusted components may be favorable. In others, it may initiate the assessment of the vendor's environment in more detail and/or expand the scope of the institution's assessment.",Follow-up inquiries concerning software supply chain will be institution/implementation specific.,Yes,,FALSE,20,-,-,-,-,-,-,-,-
3.02,-FULL-,52,APPL-06,3.02-FULL-APPL-06,Application/Service Security,"Are only currently supported operating system(s), software, and libraries leveraged by the system(s)/application(s) that will have access to institution's data?","If the web application only works with a subset of modern supported browsers, please indicate that here","State your plan to migrate to supported operating systems, libraries, and software.",Please provide a list of all required dependencies.,,,"Vendor responses to this question provides clarity on environment constraints that may exist and/or influence future development, configurations, infrastructure, etc. Although the vendor response may not directly affect end-users, the risks of the underlying infrastructure is better understood.",Follow-up inquiries for operating systems leveraged by the vendor will be institution/implementation specific.,Yes,,TRUE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,53,APPL-07,3.02-FULL-APPL-07,Application/Service Security,"If mobile, is the application available from a trusted source (e.g., App Store, Google Play Store)?", ,"Decribe how the application is distributed. Also, state any plans to publish the app to a trusted source.", State the application title as listed within the trusted source.,,,"Distributing application via known, moderately vetted application platform decreases the chances of malicious code distribution. Standalone deployments (non-trusted sources) should be looked at more closely.",Ask the vendor why this deployment strategy is used. Ask if it is a restriction of the app store platform or some other environment restriction.,Yes,,FALSE,15,-,-,-,-,-,-,-,-
3.02,-FULL-,54,APPL-08,3.02-FULL-APPL-08,Application/Service Security,Does your application require access to location or GPS data?, ,Please indicate any future plans that would require access to this data, Please describe the reasons why in detail and state if that access can be limited to while your app is running.,,,Sharing location data significantly increases risk factors for users.  It's important to understand if this is required.,Ask the vendor about the need for this requirement and understand any mitigation strategies that may be possible. ,No,,TRUE,25,-,-,-,-,-,-,-,-
3.02,-FULL-,55,APPL-09,3.02-FULL-APPL-09,Application/Service Security,"Does your application provide separation of duties between security administration, system administration, and standard user functions?", , ,Describe or provide a reference to the facilities available in the system to provide separation of duties between security administration and system administration functions.,,,"Managing a software/product/service may rely on various teams to administrate a system, in this question, it is security operations and systems administration. This question is focused on how system(s) administration, and the segregation of duties, are implemented in the vendor's organization, so that system administrators do not also have security responsibilities (e.g., monitoring, mitigating, reporting, etc.)",Ask the vendor to summarize the best practices for securing their system(s) administratively without the use of RBAC. Make sure to understand the administrative requirements/overhead introduced in the vendor's environment.,Yes,,TRUE,40,-,-,-,-,-,-,-,-
